iter	RMSE
0	73.94728292
1	71.56139042
2	69.13681431
3	66.89088762
4	64.80311302
5	62.77129033
6	60.84691112
7	58.87181132
8	56.88521456
9	54.9981353
10	53.37241486
11	51.70448505
12	50.276797
13	48.96037683
14	47.68111549
15	46.40824992
16	45.19646445
17	43.9120477
18	42.6840085
19	41.56591833
20	40.42756146
21	39.16253715
22	38.13396342
23	37.23755838
24	36.35982926
25	35.39488792
26	34.52829705
27	33.82766632
28	33.0144031
29	32.29433927
30	31.61769731
31	30.89141511
32	30.20564237
33	29.46186946
34	28.79998754
35	28.05821113
36	27.40497637
37	26.90194601
38	26.28080675
39	25.78236235
40	25.16912463
41	24.61743101
42	24.10923381
43	23.62989372
44	23.13312997
45	22.70879839
46	22.23956146
47	21.81273567
48	21.42313672
49	21.05733871
50	20.68174238
51	20.34756254
52	20.01056376
53	19.54872327
54	19.2416543
55	18.94428127
56	18.68723819
57	18.40495854
58	18.23701073
59	17.99138909
60	17.73789131
61	17.46810224
62	17.1677302
63	16.95499015
64	16.69533431
65	16.47706466
66	16.28614559
67	16.06347897
68	15.7939676
69	15.53709109
70	15.33426126
71	15.14930936
72	14.926672
73	14.73833131
74	14.55120981
75	14.38445435
76	14.17613495
77	14.01591877
78	13.83017126
79	13.68406966
80	13.56039145
81	13.40480703
82	13.29251192
83	13.20692016
84	13.03817824
85	12.89238297
86	12.75634029
87	12.64456553
88	12.52488662
89	12.41360096
90	12.2963486
91	12.2048959
92	12.05456017
93	11.92911579
94	11.84970371
95	11.73605756
96	11.62770873
97	11.51527646
98	11.40263206
99	11.32659819
100	11.23339782
101	11.0958207
102	11.01232188
103	10.92568513
104	10.82876708
105	10.78151076
106	10.68248085
107	10.55518975
108	10.46911333
109	10.3871266
110	10.29638686
111	10.2028927
112	10.10300455
113	10.00909223
114	9.923657182
115	9.867098333
116	9.772940899
117	9.686373926
118	9.609740456
119	9.552580552
120	9.4673973
121	9.360053266
122	9.312367853
123	9.223491475
124	9.16794874
125	9.082626079
126	9.018876308
127	8.938806456
128	8.899095174
129	8.844860342
130	8.800311645
131	8.721228533
132	8.681347178
133	8.622333433
134	8.584049674
135	8.552209958
136	8.488308057
137	8.42495119
138	8.397515866
139	8.359015444
140	8.300988003
141	8.249407289
142	8.197069277
143	8.163995323
144	8.124309906
145	8.085871246
146	8.030263599
147	7.999474174
148	7.938848086
149	7.886782239
150	7.831741479
151	7.803817827
152	7.780947633
153	7.763301518
154	7.739797119
155	7.701843899
156	7.663852481
157	7.640676304
158	7.623275657
159	7.601564768
160	7.566541994
161	7.512828234
162	7.495077996
163	7.448706559
164	7.429030061
165	7.411694922
166	7.384776128
167	7.351047748
168	7.313526674
169	7.299696772
170	7.284457514
171	7.239127756
172	7.206750546
173	7.151722677
174	7.096390722
175	7.057432347
176	7.007676187
177	6.956639483
178	6.923958604
179	6.858251268
180	6.83435894
181	6.814979618
182	6.777010222
183	6.744997521
184	6.685929261
185	6.674942598
186	6.632293594
187	6.582012569
188	6.547791548
189	6.512924258
190	6.46451933
191	6.433121843
192	6.389312965
193	6.348623059
194	6.307810821
195	6.27705603
196	6.250430248
197	6.222922474
198	6.192198171
199	6.164017027
200	6.119294267
201	6.065469299
202	6.056250939
203	6.018621151
204	5.966589087
205	5.956025036
206	5.947054334
207	5.917681781
208	5.889352658
209	5.879355477
210	5.852076978
211	5.842356721
212	5.83413689
213	5.807647316
214	5.798382776
215	5.774386257
216	5.765411281
217	5.739509411
218	5.730772143
219	5.698777067
220	5.653973204
221	5.610183088
222	5.585913509
223	5.544567175
224	5.520318361
225	5.511590798
226	5.475163118
227	5.469136637
228	5.444878645
229	5.421384576
230	5.389618107
231	5.381170051
232	5.375363027
233	5.333638093
234	5.295391004
235	5.287224117
236	5.259353471
237	5.219067164
238	5.211125034
239	5.174601501
240	5.13567707
241	5.1137012
242	5.085318888
243	5.06465516
244	5.032393003
245	5.02810365
246	5.007346297
247	4.971249467
248	4.935884214
249	4.909163434
250	4.899227865
251	4.868767308
252	4.845210158
253	4.815459225
254	4.805724434
255	4.776653724
256	4.769045898
257	4.761686171
258	4.741951675
259	4.707115621
260	4.679029937
261	4.671830872
262	4.664865155
263	4.65371714
264	4.626258128
265	4.619467483
266	4.608824939
267	4.598459515
