iter	RMSE
268	4.561757265
269	4.551582333
270	4.541671654
271	4.505717053
272	4.49598801
273	4.466996175
274	4.457445345
275	4.429020207
276	4.422280389
277	4.412890965
278	4.384960526
279	4.359495261
280	4.332420993
281	4.307787344
282	4.281541775
283	4.272202339
284	4.263103376
285	4.241017552
286	4.234185702
287	4.212599582
288	4.195428235
289	4.174372072
290	4.157715995
291	4.137174266
292	4.131716462
293	4.107797775
294	4.101159672
295	4.084556171
296	4.079325316
297	4.046049954
298	4.040915424
299	4.032336231
300	4.02397586
301	4.00420533
302	3.99915599
303	3.99097994
304	3.971635883
305	3.966681847
306	3.958685674
307	3.939758523
308	3.933674965
309	3.915174917
310	3.905875886
311	3.876055264
312	3.871280956
313	3.86357547
314	3.835893473
315	3.805222578
316	3.800073802
317	3.791058363
318	3.764282543
319	3.75682267
320	3.730531517
321	3.725444169
322	3.698849268
323	3.67331157
324	3.660082904
325	3.655389624
326	3.650816239
327	3.622587127
328	3.617714992
329	3.592941244
330	3.574330417
331	3.56988636
332	3.545503021
333	3.517133291
334	3.512376493
335	3.508081535
336	3.499439662
337	3.474604629
338	3.466146855
339	3.442930539
340	3.438335384
341	3.414395572
342	3.407655163
343	3.385255334
344	3.360631452
345	3.339012933
346	3.332287804
347	3.327699946
348	3.319508478
349	3.297030859
350	3.276115674
351	3.255933588
352	3.232868944
353	3.228537011
354	3.224049867
355	3.206596693
356	3.201437655
357	3.17925437
358	3.175190581
359	3.168613054
360	3.162190171
361	3.141435368
362	3.12524865
363	3.121227012
364	3.115271314
365	3.111134791
366	3.095250042
367	3.088911946
368	3.084857657
369	3.063515907
370	3.0480404
371	3.024404375
372	3.020229311
373	2.996573719
374	2.981571401
375	2.975309269
376	2.952796205
377	2.938218362
378	2.93278567
379	2.905601112
380	2.902068729
381	2.879698196
382	2.875160215
383	2.871687718
384	2.848501616
385	2.827837157
386	2.809992044
387	2.78987642
388	2.786390749
389	2.764997638
390	2.745984216
391	2.730546491
392	2.727104738
393	2.706803484
394	2.703415682
395	2.685267537
396	2.670415538
397	2.667102079
398	2.651530554
399	2.638004931
400	2.620846553
401	2.617549657
402	2.602758001
403	2.588307333
404	2.569723024
405	2.553773419
406	2.536346459
407	2.533027323
408	2.520473679
409	2.501504373
410	2.498234676
411	2.482701548
412	2.470459716
413	2.453319028
414	2.448441043
415	2.44587064
416	2.443363447
417	2.438384694
418	2.422563825
419	2.420136137
420	2.410450166
421	2.40432916
422	2.401944451
423	2.395982386
424	2.380462428
425	2.375701617
426	2.373358697
427	2.371073327
428	2.365305473
429	2.36065032
430	2.343563048
431	2.341310185
432	2.336782297
433	2.326098553
434	2.306573609
435	2.304375732
436	2.302231352
437	2.297902792
438	2.290226219
439	2.283504563
440	2.275992322
441	2.273903167
442	2.266574834
443	2.252859747
444	2.24184672
445	2.234701776
446	2.217494873
447	2.204447286
448	2.196464397
449	2.188713465
450	2.184917673
451	2.180654677
452	2.175857354
453	2.16401504
454	2.156438727
455	2.139410346
456	2.136253337
457	2.128826352
458	2.125050054
459	2.110148973
460	2.108198779
461	2.099670086
462	2.09670009
463	2.089552507
464	2.083887555
465	2.074893879
466	2.068024388
467	2.05391895
468	2.05108281
469	2.045597047
470	2.043792985
471	2.038922713
472	2.030473888
473	2.022727252
474	2.020048722
475	2.009536039
476	2.003122092
477	1.99809282
478	1.996349857
479	1.99144424
480	1.989740924
481	1.979510864
482	1.973487101
483	1.964164628
484	1.960031786
485	1.943742777
486	1.928749255
487	1.924646228
488	1.914813908
489	1.912258985
490	1.902626185
491	1.896924213
492	1.889621867
493	1.887955119
494	1.885506775
495	1.876163817
496	1.872158089
497	1.864486813
498	1.855309095
499	1.851391426
